#METABOLOMICS WORKBENCH STUDY_ID:ST000042 ANALYSIS_ID:AN000064
VERSION             	1
CREATED_ON          	2016-09-17
#PROJECT
PR:PROJECT_TITLE                 	BALF Studies
PR:PROJECT_TYPE                  	MS study
PR:PROJECT_SUMMARY               	Studies of BALF as a biofluid for metabolomics
PR:INSTITUTE                     	University of Michigan
PR:DEPARTMENT                    	UMich College of Pharmacy
PR:LABORATORY                    	Stringer Lab
PR:LAST_NAME                     	Stringer
PR:FIRST_NAME                    	Kathleen
PR:ADDRESS                       	Ann Arbor, MI
PR:EMAIL                         	stringek@umich.edu
PR:PHONE                         	734-647-4775
#STUDY
ST:STUDY_TITLE                   	BALF Control vs ALI by RPLC-MS
ST:STUDY_TYPE                    	MS
ST:STUDY_SUMMARY                 	BALF comparison of healthy controls vs patients with Acute Lung Injury.
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@umich.edu
ST:PHONE                         	-
ST:NUM_GROUPS                    	2
ST:TOTAL_SUBJECTS                	23
#SUBJECT
SU:SUBJECT_TYPE                  	HUMAN
SU:SUBJECT_SPECIES               	Homo sapiens
SU:TAXONOMY_ID                   	9606
SU:SPECIES_GROUP                 	Human
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	-	S00010313	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010314	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010315	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010316	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010317	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010318	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010322	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010323	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010324	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010325	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010326	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010327	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010328	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010329	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010330	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010331	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010332	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010333	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010334	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010335	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010319	Condition:Healthy	
SUBJECT_SAMPLE_FACTORS           	-	S00010320	Condition:Healthy	
SUBJECT_SAMPLE_FACTORS           	-	S00010321	Condition:Healthy	
#COLLECTION
CO:COLLECTION_SUMMARY            	-
CO:SAMPLE_TYPE                   	Bronchoalveolar Lavage Fluid
#TREATMENT
TR:TREATMENT_SUMMARY             	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY            	-
SP:SAMPLEPREP_PROTOCOL_FILENAME  	EX00184-Sample_preparation_protocol.pdf
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	-
CH:INSTRUMENT_NAME               	-
CH:COLUMN_NAME                   	Waters Acquity HSS T3:Waters Acquity HSS T3
CH:METHODS_ID                    	AQM003:AQM004
CH:METHODS_FILENAME              	Column1_lowinj_jetstream_grad9.m.zip
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:LABORATORY_NAME               	MRC2 (University of Michigan)
AN:ANALYSIS_PROTOCOL_FILE        	Metabolomic_analysis_of_lung_lavage_fluid RP-LC-MS.docx
AN:ACQUISITION_PARAMETERS_FILE   	Column1_solv1_lowinj_jetstream_pos_grad9.m.zip
AN:PROCESSING_PARAMETERS_FILE    	LCPosDataProcessing.m
#MS
MS:INSTRUMENT_NAME               	Agilent 6530 QTOF
MS:INSTRUMENT_TYPE               	Q-TOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	POSITIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS	Counts
MS_METABOLITE_DATA_START
Samples	S00010313	S00010314	S00010315	S00010316	S00010318	S00010322	S00010323	S00010324	S00010325	S00010326	S00010327	S00010328	S00010329	S00010330	S00010331	S00010332	S00010333	S00010334	S00010335	S00010319	S00010321
2`_4`-DIHYDROXYACETOPHENONE					70348.0000	35314.0000				25675.0000	17045.0000		14588.0000		29362.0000	72701.0000	32564.0000		28121.0000	100332.0000	164068.0000
2_6-DIHYDROXYPYRIDINE																		31684.0000			
2-DEOXY-D-GLUCOSE		16977.0000		42844.0000		82308.0000		41754.0000		52352.0000	57310.0000								71847.0000		
2-DEOXY-GLUCOSE / 6-DEOXY-GALACTOSE																		202989.0000			
2`-DEOXYGUANOSINE		15190.0000	22861.0000	19545.0000			24273.0000				19982.0000					20965.0000				63601.0000	20273.0000
2`-DEOXYGUANOSINE_1		101906.0000	79741.0000	119504.0000	27874.0000		121814.0000			29699.0000	47073.0000							166946.0000			37884.0000
2-HYDROXYBUTYRIC ACID	24994.0000	29709.0000	45546.0000			137906.0000	23144.0000		89185.0000	37130.0000	56170.0000			38849.0000			26698.0000	62538.0000	106732.0000		
2-HYDROXYPHENYLACETIC ACID	201023.0000	49248.0000	207372.0000		174750.0000	35233.0000		296549.0000	316632.0000	264053.0000	100981.0000	207180.0000	246695.0000	179072.0000	35058.0000	168002.0000	43869.0000	32729.0000	49383.0000	194504.0000	187086.0000
2-METHYLGLUTARIC ACID					62816.0000	75910.0000		149330.0000	112490.0000	124126.0000	147268.0000	100828.0000	129307.0000				136453.0000	87929.0000		82267.0000	
2-METHYLMALEATE		18722.0000								36480.0000											
3-(2-HYDROXYPHENYL)PROPANOATE		15143.0000							13610.0000					19981.0000	11131.0000						
3_4-DIHYDROXYBENZOATE	34707.0000			44231.0000		21206.0000	10180.0000		33872.0000		43248.0000			34943.0000			45990.0000	30045.0000		39029.0000	
3_4-DIHYDROXYPHENYLACETATE																			35893.0000		
3_5-DIIODO-L-THYRONINE				165343.0000			193522.0000				48873.0000										
3_5-DIIODO-L-THYRONINE_1				367115.0000																	
3_5-DIIODO-L-TYROSINE											64673.0000	15409.0000									
3_5-DIIODO-L-TYROSINE_1											17927.0000										
3-ALPHA_11-BETA_17-ALPHA_21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE	27361.0000																		53204.0000		
3ALPHA-HYDROXY-5BETA-CHOLANATE										49010.0000	72278.0000	109578.0000								56616.0000	
3BETA-HYDROXY-5ALPHA-PREGNAN-20-ONE																			143958.0000		
3-(CYSTEIN-S-YL)ACETAMINOPHEN (*)																		36159.0000			
3-HYDROXYANTHRANILATE			28121.0000		41182.0000			35467.0000		14138.0000	33103.0000			17987.0000	21759.0000	22475.0000	25459.0000			35352.0000	21371.0000
3-HYDROXYBENZYL ALCOHOL						20974.0000		21957.0000					17650.0000								
3-METHYLADENINE																		29519.0000			
3-SULFINO-L-ALANINE				14207.0000															17483.0000		
3-UREIDOPROPIONIC ACID					34314.0000																
4-AMINOBENZOATE	73662.0000	84020.0000		644264.0000		69896.0000	1406040.0000	54653.0000	56916.0000	105056.0000	1543829.0000	63000.0000	66760.0000	89709.0000	65971.0000	89840.0000	37349.0000	36393.0000	91891.0000	94615.0000	63926.0000
4-COUMARATE			41116.0000														31036.0000			28181.0000	
4-GUANIDINOBUTANOIC ACID		12749.0000					16147.0000					15833.0000		36234.0000	22373.0000		27766.0000	40600.0000			
4-METHYL-2-OXOPENTANOATE	42817.0000		18666.0000					20500.0000	40516.0000	26314.0000	73183.0000		38742.0000	56881.0000	34246.0000	46866.0000	37354.0000	106196.0000	94364.0000	20213.0000	
4-METHYL-2-OXOPENTANOATE_1	183713.0000	51430.0000	18429.0000	31382.0000	175291.0000	35214.0000		296549.0000	44733.0000	46008.0000	138991.0000	30259.0000	249962.0000	181894.0000	206364.0000	169894.0000	43463.0000	31541.0000	51462.0000	214871.0000	187345.0000
4-METHYLCATECHOL										129349.0000			100778.0000		81014.0000		104259.0000		182822.0000		
4-NITROCATECHOL			31622.0000																		
5-AMINOLEVULINIC ACID											12864.0000										
5-HYDROXYINDOLE-3-ACETIC ACID				54504.0000			55370.0000				44248.0000										
5-HYDROXYPENTANOIC ACID	21897.0000	63710.0000	27664.0000				70096.0000	36202.0000		17115.0000	20825.0000	160436.0000		68058.0000					74200.0000		
5-OXO-PROLINE																			20297.0000		
5-VALEROLACTONE							71118.0000					64155.0000									
ADENINE																		36366.0000			
ADENOSINE		15196.0000	22875.0000	19542.0000			24270.0000				19982.0000					20970.0000				63604.0000	20275.0000
ALANINE	33422.0000					25937.0000			45681.0000					20849.0000			24061.0000	87772.0000	32722.0000		
ALPHA-LIPOAMIDE	51371.0000	49203.0000	49457.0000		44732.0000	44587.0000		47977.0000	45545.0000		49053.0000	44378.0000	41059.0000	56437.0000		35123.0000	48017.0000	41102.0000	53510.0000	42690.0000	49824.0000
AMINOHYDROXYBUTANOIC ACID																		116251.0000			
ANTHRANILATE	79001.0000	143556.0000	101914.0000		110831.0000	69840.0000		125943.0000	85900.0000	116875.0000		79218.0000	77188.0000		93844.0000	119467.0000	85175.0000	78370.0000	86791.0000	73659.0000	72223.0000
ARACHIDONOYLGLYCEROPHOSPHOCHOLINE (*)			43244.0000	33245.0000		39909.0000	86317.0000	35166.0000	47759.0000				36757.0000	28981.0000	34869.0000	53280.0000		176748.0000	131313.0000	40647.0000	45603.0000
ARG-VAL-TRP	112627.0000	165158.0000	103856.0000		148515.0000	140279.0000		186601.0000	106245.0000	178668.0000	198392.0000	180220.0000	93275.0000	193223.0000	75092.0000	162304.0000	171931.0000	74420.0000	117587.0000	100278.0000	104231.0000
ASCORBATE											30434.0000					20863.0000		22312.0000			
ASPARAGINE	126389.0000	96142.0000	74657.0000	178941.0000	82193.0000	68828.0000	214038.0000		105300.0000		112740.0000		86898.0000	83216.0000	89501.0000	115651.0000	190169.0000	68187.0000	123713.0000	42253.0000	98281.0000
ASPARTATE				13885.0000	40086.0000											33983.0000					34753.0000
AZELAIC ACID	212602.0000	269176.0000	196795.0000	86001.0000	226917.0000	140145.0000	57741.0000	225710.0000	234146.0000	205371.0000	196018.0000	219797.0000	204530.0000	264189.0000	228780.0000	201202.0000	244744.0000	209530.0000	279459.0000	225466.0000	239211.0000
AZELAIC ACID_1	11047.0000	21451.0000			30649.0000				11550.0000						14394.0000	11968.0000					
BENZENEDICARBOXYLIC ACID							21304.0000														
BILIVERDIN																		103730.0000			
BILIVERDIN_1				15351.0000			54264.0000		34900.0000	51135.0000			31146.0000							22607.0000	
BILIVERDIN_2	16791.0000				34635.0000					30341.0000											
BIOTIN				12344.0000																	
BIOTIN_1											24247.0000										
BIOTIN_2	68294.0000	77382.0000	62803.0000		81411.0000	33644.0000			72347.0000	34997.0000	28798.0000	75443.0000	106286.0000		81839.0000	48285.0000	94544.0000	81922.0000	81218.0000	82723.0000	69479.0000
BIS(2-ETHYLHEXYL)PHTHALATE	6569877.0000	5985286.0000	4363004.0000	6269277.0000	6061743.0000	6143046.0000	6905782.0000	6806889.0000	7073657.0000	6407236.0000	6928746.0000	6663909.0000	4038574.0000	6515642.0000	3927203.0000	4055339.0000	6903542.0000	6892041.0000	7722436.0000	4383374.0000	4117871.0000
BIS(2-ETHYLHEXYL)PHTHALATE_1	1212264.0000	1204654.0000	1018779.0000	1137149.0000	1176805.0000	1094219.0000	1351071.0000	1186428.0000	1221187.0000	1155429.0000	1110063.0000	1059625.0000	1146800.0000	1097074.0000	1235839.0000	1184155.0000	1285833.0000	1686631.0000	1151627.0000	1036293.0000	1066699.0000
BIS(2-ETHYLHEXYL)PHTHALATE_2	716071.0000	612332.0000		620615.0000	632212.0000	631839.0000	835989.0000	689755.0000	657585.0000	647833.0000	633795.0000	601088.0000	396492.0000	655947.0000	399829.0000		665162.0000		731883.0000		386070.0000
BOC-ALA (+NA)	16055264.0000	16629813.0000	16479672.0000	3013663.0000	16700940.0000	15438245.0000	1934096.0000	16444453.0000	17039239.0000	15800309.0000	13491589.0000	15759707.0000	15107982.0000	17126243.0000	15188240.0000	14033585.0000	17613686.0000	14977221.0000	17434757.0000	16235380.0000	16169953.0000
BOC-ALA-OH	623694.0000	595372.0000	594901.0000	47551.0000	616421.0000	498939.0000	21850.0000	599186.0000	609646.0000	578632.0000	375743.0000	558523.0000	504253.0000	645869.0000	541283.0000	463419.0000	670679.0000	451275.0000	635711.0000	567769.0000	560539.0000
BOC-ALA-OH_1	16046230.0000	16600974.0000	16455457.0000	3009652.0000	16703601.0000	15425598.0000	1922890.0000	16393611.0000	17031066.0000	15793852.0000	13482819.0000	15762803.0000	15055459.0000	17128568.0000	15193677.0000	14033057.0000	17600428.0000	14964333.0000	17388687.0000	16235438.0000	16149631.0000
BOC-ASN	5051370.0000	5219203.0000	5609319.0000	232661.0000	5555628.0000	4142549.0000		5609152.0000	5883379.0000	5449472.0000	3486311.0000	5155488.0000	5493228.0000	5138213.0000	5153461.0000	4778684.0000	5925090.0000	4603112.0000	5919867.0000	5159496.0000	4964449.0000
BOC-ASP-OH	2425945.0000	2609760.0000	2633348.0000	520096.0000	2584299.0000	2478855.0000	219024.0000	2492556.0000	2657594.0000	2447008.0000	1990462.0000	2591661.0000	2309926.0000	2513254.0000	2364899.0000	2290655.0000	2580922.0000	1748028.0000	2698181.0000	2569349.0000	2536179.0000
BOC-GLY-OH					27282.0000											35620.0000					
BOC-HIS-OH												44515.0000									
BOC-LYS-OH					36699.0000			93523.0000	104416.0000				70469.0000	44870.0000				135744.0000			
BOC-LYS-OH_1	27160.0000	33864.0000	26957.0000		42718.0000	22025.0000		31586.0000	21123.0000	65414.0000		22767.0000	50168.0000	18302.0000	31597.0000	24243.0000	79225.0000		23612.0000	23581.0000	
BOC-PHE-OH	6527295.0000	6855973.0000	6028775.0000	5707487.0000	6775345.0000	6795560.0000	4834161.0000	6843145.0000	6929512.0000	6281601.0000	7649951.0000	7154645.0000	5136710.0000	7242794.0000	5270971.0000	4498568.0000	7319418.0000	6090006.0000	7069415.0000	5751969.0000	5604301.0000
BRADYKININ HYDROXY-PRO(3) (*)																		33024.0000			
BUTYRYLCARNITINE (*)		69985.0000		17541.0000			52744.0000				23530.0000					52509.0000	28811.0000	26338514.0000			
BUTYRYLCARNITINE (*)_1	128156.0000	283873.0000	61336.0000	54159.0000	89564.0000	45493.0000	272002.0000	47548.0000	60426.0000	119802.0000	94807.0000		56601.0000	78318.0000	43433.0000	262042.0000	140274.0000		58625.0000		16357.0000
CAFFEINE																					666763.0000
C-GLYCOSYLTRYPTOPHAN (*)		13990.0000					13224.0000														
C-GLYCOSYLTRYPTOPHAN (*)_1		13990.0000																			
CHOLESTA-5_7-DIEN-3BETA-OL			21280.0000									26578.0000									
CINNAMOYLGLYCINE  (*)	69701.0000	72965.0000	57407.0000		65729.0000	66350.0000		70906.0000	71940.0000	72889.0000		60711.0000	56601.0000	78060.0000	63217.0000	53605.0000	68413.0000	60393.0000	64666.0000	68615.0000	70064.0000
CINNAMOYLGLYCINE (*)			114856.0000			132718.0000											137030.0000	120752.0000			
CIS-7_10_13_16-DOCOSATETRAENOIC ACID													23970.0000								
CITRAMALATE						17201.0000				27852.0000		24528.0000					31868.0000				
CITRATE														113266.0000				42197.0000			
CITRULLINE															13190.0000			115661.0000			
CORTICOSTERONE											38411.0000										
CORTICOSTERONE_1																48252.0000					
CORTISOL			92183.0000			149981.0000				109428.0000						102696.0000					
CORTISOL_1												31910.0000		33350.0000			38853.0000		73563.0000		56406.0000
CORTISOL 21-ACETATE		118364.0000			135846.0000	212655.0000		92489.0000	121031.0000		251180.0000	213427.0000	132548.0000	132537.0000	87426.0000		134340.0000		140467.0000		
CORTISOL 21-ACETATE_1												51073.0000						15950.0000			
CORTISOL 21-ACETATE_2													18613.0000								
CORTISONE					387183.0000				383727.0000	386707.0000								393803.0000			383924.0000
CORTISONE_1								13559.0000													
COTININE (*)							320298.0000														
CREATINE	1797052.0000	311715.0000	779111.0000	729713.0000	286740.0000	1009056.0000	811904.0000	186568.0000	2349555.0000	831837.0000	507357.0000	247003.0000	335069.0000	1438161.0000	549499.0000	535252.0000	1438482.0000	4606211.0000	1798213.0000	127534.0000	172038.0000
CREATININE	264243.0000	528885.0000	497347.0000	277987.0000	87931.0000	1245268.0000	1508668.0000	354823.0000	449783.0000	587383.0000	825795.0000	94974.0000	256253.0000	1267061.0000	85603.0000	197356.0000	226333.0000	3173823.0000	603989.0000	89965.0000	63832.0000
CREATININE FROM COMPLEX						118357.0000	265357.0000							108733.0000				947132.0000			
CYCLOHEX-1-ENECARBOXYLIC ACID	135220.0000	113595.0000	80039.0000	57327.0000	103050.0000		54140.0000	39669.0000		38667.0000	50156.0000			119767.0000	55315.0000	42053.0000		62794.0000	51527.0000	96743.0000	101585.0000
