#METABOLOMICS WORKBENCH STUDY_ID:ST000215 ANALYSIS_ID:AN000317
VERSION             	1
CREATED_ON          	2016-09-17
#PROJECT
PR:PROJECT_TITLE                 	Regulation of hepatic metabolism
PR:PROJECT_SUMMARY               	Examine metabolite in liver and plasma before and after 13C-glucose load in
PR:PROJECT_SUMMARY               	type, LIRKO and LIRFKO mice
PR:INSTITUTE                     	University of Chicago
PR:DEPARTMENT                    	Jesse Brown VA Medical Center
PR:LABORATORY                    	Unterman Lab
PR:LAST_NAME                     	Unterman
PR:FIRST_NAME                    	Terry
PR:ADDRESS                       	Chicago, IL
PR:EMAIL                         	unterman@uic.edu
PR:PHONE                         	847-778-0943
#STUDY
ST:STUDY_TITLE                   	Liver and Plasma metaboites for 13C-glucose load in wild type, LIRKO GTT 1 mice
ST:STUDY_SUMMARY                 	Mice were fasted for 18 hr overnight then sacrificed or treated with
ST:STUDY_SUMMARY                 	(2 g/kg ip) and sacrificed 1 hr later by decapitation and liver was immediately
ST:STUDY_SUMMARY                 	and stored in liquid N2 and then at -80 C. Wild type (IR and IR/FoxO1 floxed)
ST:STUDY_SUMMARY                 	were sacrificed after fasting and 1 hr post-glucose treatment. Liver-specific
ST:STUDY_SUMMARY                 	receptor knockout (LIRKO) and insulin receptor/FoxO1 double knockout (LIRFKO)
ST:STUDY_SUMMARY                 	were sacrificed 1 hr post glucose treatment
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@umich.edu
ST:PHONE                         	-
ST:NUM_GROUPS                    	5
ST:TOTAL_SUBJECTS                	40
#SUBJECT
SU:SUBJECT_TYPE                  	-
SU:SUBJECT_SPECIES               	Mus musculus
SU:TAXONOMY_ID                   	10090
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	SU0003002	S00013145	treatment:glucose | Strain:IRF floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013143	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013142	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013144	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013152	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013153	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013154	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013155	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013146	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013147	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013148	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013149	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013150	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013151	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013136	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013137	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013138	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013139	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013140	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013141	treatment:none | Strain:IR floxed	
#COLLECTION
CO:COLLECTION_SUMMARY            	-
CO:SAMPLE_TYPE                   	Liver
#TREATMENT
TR:TREATMENT_SUMMARY             	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY            	-
SP:SAMPLEPREP_PROTOCOL_FILENAME  	Fluxomics_analysis_protocol-2015-03-11.docx
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	-
CH:INSTRUMENT_NAME               	-
CH:COLUMN_NAME                   	Luna 3 m NH2 100 , LC Column 150 x 1 mm, Ea (Phenomenex Inc.)
CH:METHODS_ID                    	AQM010
CH:METHODS_FILENAME              	QTOF-002-HILIC-35min-1mm.m.zip
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:LABORATORY_NAME               	MRC2 (University of Michigan)
AN:ACQUISITION_PARAMETERS_FILE   	QTOF-002-HILIC-35min-1mm.m.zip
AN:PROCESSING_PARAMETERS_FILE    	EX00258-flux-MassHunterQuant-GlyTCA-DataAnalysis-LCMS-Method.m.zip
#MS
MS:INSTRUMENT_NAME               	Agilent 6520 QTOF
MS:INSTRUMENT_TYPE               	Q-TOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	NEGATIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS	Area
MS_METABOLITE_DATA_START
Samples	S00013145	S00013143	S00013142	S00013144	S00013152	S00013153	S00013154	S00013155	S00013146	S00013147	S00013148	S00013149	S00013150	S00013151	S00013136	S00013137	S00013138	S00013139	S00013140	S00013141
Aspartate_13C_2	20141.3293	11031.9310	2774.8360	18970.5552	3198.9936	28774.3817	20947.3517	14095.1609	22507.8029	6846.2275	31132.5360	41157.4652	46322.5348	34642.4235	0.0000	2392.4132	1304.5447	0.0000	0.0000	534.6898
Aspartate_13C_3	15632.2372	8818.3533	1733.6612	15076.1920	1465.8854	22041.0660	15400.8410	13376.3876	12904.7640	7621.8654	30956.0904	32963.9742	36081.5847	28248.6551	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Aspartate_13C_4	820.4314	527.5270	0.0000	2114.2455	0.0000	1573.4911	932.9434	0.0000	672.6314	0.0000	2201.2570	3480.0020	3499.2179	2221.5827	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ATP	28318.6650	22489.8378	8250.4636	35301.8430	10616.8852	14546.5024	15468.1575	12458.1064	10261.6757	14514.1964	12459.3015	11780.3164	9086.4849	18283.1139	21119.8148	29612.3550	31485.3340	9859.8692	11077.5766	9172.9031
Citrate or Isocitrate	1063037.8270	832664.5941	470155.7837	1338040.0660	483232.6144	1623638.4260	874125.9360	1107095.5730	1056645.2560	502464.2442	481016.8794	1435452.4940	1607808.6640	1371484.3530	375863.2451	502282.0456	1081141.3540	714379.3733	841469.2071	699225.3059
Citrate or Isocitrate_13C_1	158468.7361	90917.3263	41180.9338	192369.2911	40536.2244	185825.7163	103392.6807	129835.8458	119146.5670	64333.0546	47053.9304	180338.1312	174589.5151	152156.2581	0.0000	942.8433	1434.4255	1514.6322	0.0000	1920.1138
Citrate or Isocitrate_13C_2	120264.4578	60071.9116	22905.1950	92788.2260	28453.2474	141265.5123	75013.3742	92306.2305	92676.3552	42617.8892	44435.3622	166288.4044	153724.7769	122910.4607	1135.1670	527.4314	267.4353	1060.8411	648.4756	918.2933
Citrate or Isocitrate_13C_3	71769.3127	37594.2282	12180.0443	64642.2901	13828.9214	89095.3705	45150.3312	71295.5231	40685.8287	26749.6855	28605.9419	87952.5383	100029.9228	82813.4380	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Citrate or Isocitrate_13C_4	10166.1681	6218.5303	4674.0441	12181.5285	5585.1097	16170.3009	6804.4325	11961.3616	8045.9834	6245.2749	5096.7959	16599.1808	17010.3981	13527.9504	0.0000	0.0000	0.0000	1095.2319	0.0000	0.0000
Citrate or Isocitrate_13C_5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.5715	7.5788
Citrate or Isocitrate_13C_6	681.2197	0.0000	1707.0000	976.8025	3888.6657	2953.7311	0.0000	1529.4847	0.0000	1547.3842	1402.1339	0.0000	1810.7104	0.0000	0.0000	0.0000	0.0000	0.0000	3313.2569	2185.2508
Erythrose 4-phosphate	10979.8170	9018.7149	2299.4326	12825.7897	6179.4818	14436.1130	14378.6577	4604.2898	8468.6395	1000.7848	19022.8498	17901.0798	15365.0692	7670.8956	5491.4993	7500.1287	12872.3882	3899.3876	5932.0327	2384.6703
Erythrose 4-phosphate_1	2072.5030	814.6040	0.0000	541.5097	0.0000	2677.4227	1349.2243	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Erythrose 4-phosphate_2	53.9667	0.0000	0.0000	239.2751	0.0000	760.1520	854.2807	0.0000	0.0000	0.0000	0.0000	252.4923	362.0872	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Erythrose 4-phosphate_3	1121.2073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6631	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Erythrose 4-phosphate_4	3405.9588	1075.3940	0.0000	1975.6406	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	781.1632	1334.2699	1588.7020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fructose 1_6-bisphosphate	5583.2663	6110.7871	0.0000	10027.3796	0.0000	1104.5425	3776.7027	1196.6753	5248.3366	0.0000	1537.4182	10829.7993	6036.7349	2312.5957	9885.2815	13260.2928	6255.6701	918.5397	1616.0440	0.0000
Fructose 1_6-bisphosphate_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fructose 1_6-bisphosphate_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fructose 1_6-bisphosphate_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3837.1854	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fructose 1_6-bisphosphate_4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fructose 1_6-bisphosphate_5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fructose 1_6-bisphosphate_6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Glucose 6-phosphate or fructose-6-phosphate	308654.4518	221957.2559	45381.9514	239310.2734	153140.8139	382512.0040	308051.4246	184176.4864	171604.9676	74763.7925	191186.1171	280483.7792	280030.8746	143804.2771	183181.1914	314907.8969	383706.4298	188479.2517	162227.7229	33915.1579
Glucose 6-phosphate or fructose-6-phosphate_1	60923.0531	39127.6456	2648.9246	34166.1186	27695.4467	66575.9411	46653.3187	31945.0544	17966.5516	10145.5386	11541.1069	29778.9940	27615.7066	15568.2510	977.5279	1296.2481	0.0000	0.0000	1357.4515	0.0000
Glucose 6-phosphate or fructose-6-phosphate_2	70965.7373	39279.7778	2245.0596	35034.3238	27618.5652	74875.4982	57952.4953	32927.6701	21256.0009	10735.2536	14121.1608	33734.7584	41892.8866	19545.1138	1325.5775	1615.6922	2144.1945	834.8975	121.6862	0.0000
Glucose 6-phosphate or fructose-6-phosphate_3	84906.5687	46789.9164	2678.9015	49931.4523	28106.9532	67555.3547	53292.3191	31273.0034	25086.0836	12661.2471	18023.7125	42583.5717	44551.2155	22648.0187	9.0388	0.0000	0.0000	0.0000	0.0000	8.6294
Glucose 6-phosphate or fructose-6-phosphate_4	18648.7798	9331.2397	0.0000	10942.2252	4467.8190	13355.8918	10366.0202	5921.8080	1722.0718	0.0000	2604.7837	5552.8796	5763.1084	3939.4538	0.0000	0.0000	0.0000	0.0000	0.0000	6.4280
Glucose 6-phosphate or fructose-6-phosphate_5	20750.5178	10608.0241	3240.2839	10843.6340	6306.6890	16995.6116	10732.2428	3301.2067	5764.0042	3128.6548	8109.5244	12825.7392	11076.8353	9775.6910	967.9625	1212.6728	1462.1392	177.8735	608.5612	697.3547
Glucose 6-phosphate or fructose-6-phosphate_6	143712.7241	63411.8253	6010.6136	98913.2954	29717.0207	67044.7494	37862.6556	30485.3336	26844.5241	19568.4212	77304.5961	103297.8337	84259.3727	60766.9276	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Glutamate	859697.2765	723790.0750	397846.1928	1120308.9530	433336.9618	1347705.8210	1177694.3190	463056.8660	1812535.2430	481732.1377	2283444.0550	2001801.6590	1746895.9930	1355912.1420	640903.7535	457495.5718	536305.0301	171165.8933	337217.2847	267935.1653
Glutamate_1	72096.3607	47392.7578	18011.9495	102949.1534	23190.8422	87903.0851	73415.8819	32597.7890	144987.0411	37479.6469	130841.3244	165773.3621	133125.5323	84538.5260	0.0000	0.0000	1081.5856	0.0000	0.0000	847.8552
Glutamate_2	86553.8199	51590.8235	19400.0859	80834.1759	26652.9146	102450.8481	92714.1897	37581.7622	157374.1489	47177.1282	174941.3805	194457.1466	181702.0154	121195.9826	728.2546	51.6371	572.9635	0.0000	808.1782	0.0000
Glutamate_3	32590.2279	18620.6826	7288.8337	33499.2069	10087.2824	37554.0617	39475.9458	13938.3176	66414.8629	19949.6976	68305.7257	79840.1589	75181.1338	48894.0120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Glutamate_4	718.0460	34.7519	0.0000	34.4525	0.0000	80.1555	638.2373	0.0000	2148.4504	0.0000	802.1724	968.2018	544.2180	744.5080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Glutamate_5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Lactate	1478382.0010	406709.3735	180246.3817	1191272.2190	1001049.1580	476369.9651	552129.1519	601896.2634	1412274.1980	278959.5023	1244222.0740	1980395.5170	1105936.7980	950525.2981	717523.7272	644951.1567	592779.6697	564125.9802	770001.8435	205613.8649
Lactate_1	229161.1087	14837.1569	12722.8705	183293.9934	134782.5532	70024.3228	56849.1007	70764.3768	160055.7975	23138.9045	113176.9382	219056.8500	136033.0722	106726.5227	0.0000	0.0000	0.0000	0.0000	1676.9589	0.0000
Lactate_2	200506.4515	15598.2846	11093.7726	140382.1993	123098.2107	41330.7968	49083.8679	62519.0860	153387.0993	25155.5348	122382.4363	222266.3619	139627.2282	111319.3189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Lactate_3	1045842.2610	181414.9365	149919.2980	810680.4317	330201.5494	227980.3903	175375.4014	202340.6542	576044.3447	129296.1023	1246847.4860	1537372.4660	910059.7194	1052791.1330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Malate	808040.7608	711994.3477	201557.6630	901946.1029	366727.8641	1715516.4500	980128.5812	558395.5509	925724.7584	395514.7080	1233078.8930	1509022.3430	1572274.3000	1403898.4430	223370.5573	243293.1156	371014.1918	263006.1134	278413.0018	175092.4637
Malate_1	119715.2015	77421.7193	21164.2245	146756.0789	38017.6159	207023.6943	133494.2119	70790.1415	106654.8212	61373.1173	133192.1128	197570.9360	200945.9955	176762.2550	210.5169	597.9078	5.5707	0.0000	0.0000	0.0000
Malate_2	117291.5174	101444.9429	29562.5793	130584.5479	57755.8160	244257.8003	153499.7961	71407.6110	134677.2038	58639.9259	128589.0569	241169.0179	296421.1276	201131.6138	2879.7977	15973.8822	18177.3618	5395.7039	5539.6872	3468.9500
Malate_3	65614.5421	38210.5327	6921.3679	57132.8101	17162.6913	112479.9051	71581.1034	43443.9864	47614.0730	30525.2839	86304.1383	96943.6998	119940.5656	134264.4747	503.1671	0.0000	440.2143	0.0000	0.0000	0.0000
Malate_4	9940.9355	5477.7130	220.9824	10026.0729	3388.0269	15957.8812	10085.9200	6511.5940	10132.9077	2192.6816	13156.4522	15335.8641	19310.6438	19188.4218	346.7981	836.5150	119.2984	81.3260	0.0000	0.0000
Malonyl-CoA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Malonyl-CoA_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Malonyl-CoA_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Malonyl-CoA_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Nicotinamide Adenine Dinucleotide oxidized	1068195.8460	739426.2877	545235.5934	1368570.1360	692568.8416	1279636.5940	936358.0361	703957.8888	907659.7057	401648.2987	146551.5628	202565.3165	168870.5418	816306.4926	1373724.1150	920271.6853	1151907.6930	645497.9175	1111347.0080	699427.9369
Nicotinamide Adenine Dinucleotide oxidized_1	10614.5126	4994.2158	5291.5682	24276.1839	12358.8571	9146.1720	12802.5727	5148.9229	16117.2208	4516.5447	9732.8705	6439.4162	8246.1552	15875.1938	11461.1570	0.0000	8849.8695	4889.2185	4974.0804	8346.2529
Nicotinamide Adenine Dinucleotide oxidized_2	16013.4909	15241.8804	4113.1624	7540.9378	6251.8025	9691.6270	8806.4266	3567.7793	14269.1511	1182.4819	4058.4747	7403.3757	4133.0353	13005.9725	0.0000	4763.6185	6456.2773	681.5611	0.0000	1630.5000
Nicotinamide Adenine Dinucleotide oxidized_3	7086.0143	1590.6508	228.1073	4968.9750	310.1512	7299.2320	5658.3875	2021.4685	4571.3006	138.1725	2097.2645	1593.0151	279.1525	2850.7936	960.0830	1176.7575	0.0000	0.0000	922.5678	0.0000
Nicotinamide Adenine Dinucleotide oxidized_4	3944.0400	5174.3772	21.8373	2278.0727	0.0000	1849.5601	1389.0362	309.9826	5782.0756	116.3041	2551.6476	1234.3827	1237.0138	1445.4491	549.2142	0.0000	0.0000	0.0000	0.0000	0.0000
Nicotinamide Adenine Dinucleotide oxidized_5	3813.5496	3606.0957	0.0000	1263.7885	159.8134	1897.7086	295.7150	0.0000	0.0000	0.0000	563.3660	956.0398	0.0000	423.4170	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Nicotinamide Adenine Dinucleotide reduced	1032055.6930	591071.6113	1077570.8040	1352586.6070	807407.8773	1404020.8060	1570702.5080	336872.2159	1108480.2470	243513.3956	265300.3975	322566.7284	208812.9192	1336230.1090	847405.7039	1315259.6840	897015.6883	355082.6340	506781.5898	369660.5982
Nicotinamide Adenine Dinucleotide reduced_1	7763.5221	3873.7707	1357.0965	0.0000	0.0000	8432.3929	8624.6934	1321.1804	2095.6681	796.1869	4713.4573	7788.0268	3925.6643	948.9066	0.0000	0.0000	10370.6897	0.0000	1598.6355	0.0000
Nicotinamide Adenine Dinucleotide reduced_2	13290.1789	12216.3003	5395.0757	11192.8433	7029.3224	12833.1234	14568.6487	2617.8410	13767.3676	2251.1977	3605.9236	5208.6848	998.2829	10903.7676	3638.1170	2200.1910	0.0000	498.8059	0.0000	313.2807
Nicotinamide Adenine Dinucleotide reduced_3	12222.7820	8693.3854	5025.9817	8696.7300	9007.9055	9513.5197	10398.9826	1086.0495	15577.0767	4225.8710	6663.1714	6847.8887	8791.4487	13366.5091	2401.6720	2814.4692	3711.7767	810.8229	1830.2271	0.0000
Nicotinamide Adenine Dinucleotide reduced_4	3378.9391	3771.6723	2839.8301	8049.1546	1116.4897	2381.5273	4123.8189	0.0000	1176.9029	0.0000	0.0000	0.0000	892.4802	1542.7925	8936.8226	0.0000	0.0000	0.0000	0.0000	0.0000
Nicotinamide Adenine Dinucleotide reduced_5	5367.5028	3037.9115	46.4318	3237.8183	0.0000	2372.1477	2452.5916	0.0000	5583.0205	222.5288	1129.6600	1276.5368	0.0000	3086.3267	1764.6956	3868.6789	2938.6032	0.0000	0.0000	0.0000
Phosphoenolpyruvate	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Phosphoenolpyruvate_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Phosphoenolpyruvate_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Phosphoenolpyruvate_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Ribose-5-phosphate or xylulose 5-phosphate	242552.3377	200488.2912	123861.4179	299816.2101	125755.4283	306088.4251	237069.3098	128547.8048	256846.8776	72279.9515	581205.2153	647984.4041	548716.1712	309718.0065	114845.0856	142665.3978	218299.7411	89552.0565	149587.7497	85252.5498
Ribose-5-phosphate or xylulose 5-phosphate_1	2761.7766	2895.2128	772.1518	3375.9139	144.3029	3515.1750	3020.9908	1512.6777	2683.2252	1032.2204	3085.8990	8660.9068	3398.8632	1680.3036	0.0000	0.0000	0.0000	0.0000	37.6890	0.0000
Ribose-5-phosphate or xylulose 5-phosphate_2	9424.2045	7566.6357	5618.1540	8204.7049	2552.9844	11363.8178	5735.2407	4696.0186	7938.9170	1111.6351	87003.3279	53036.4253	23902.7736	9238.0150	4882.1808	3615.4595	4453.7525	1861.0886	2789.3804	2169.4263
Ribose-5-phosphate or xylulose 5-phosphate_3	3684.7724	3718.0813	612.2321	3885.5013	0.0000	1271.0036	4409.4241	1467.7043	3926.5297	0.0000	5051.0127	8467.2947	7325.3928	4037.2291	1656.1760	2037.5620	3195.0091	1471.2519	1007.4572	0.0000
Ribose-5-phosphate or xylulose 5-phosphate_4	651.8676	66.6392	41.7934	0.0000	0.0000	173.1966	0.0000	0.0000	0.0000	0.0000	1543.4506	18.6578	472.3913	67.9339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Ribose-5-phosphate or xylulose 5-phosphate_5	1880.8719	1882.2393	0.0000	804.4805	0.0000	479.6385	0.0000	0.0000	715.5583	0.0000	289.5506	2369.8003	1879.3742	432.5798	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Sedoheptulose 7-phosphate	116830.7804	124103.5341	71101.5264	181316.8724	87600.3752	190288.7453	213234.9870	64962.8981	146549.3130	38830.7649	560921.0414	425176.3371	243101.1502	132564.9467	98997.3056	150098.5105	225489.6917	82019.1901	114335.6485	47908.0482
Sedoheptulose 7-phosphate_1	37497.8174	33701.6152	3092.8041	48621.0702	25394.0301	46787.4745	53377.2423	13549.0779	23500.5947	6838.6968	17987.6833	26368.8762	16071.0074	19394.5254	1304.8116	2308.5032	1616.0264	0.0000	682.2239	0.0000
Sedoheptulose 7-phosphate_2	47404.3388	41040.5943	3374.7143	56986.7155	24655.5169	47712.7550	51041.9581	14729.2646	22999.5222	6958.2405	24207.2020	46153.4472	29334.7897	26573.4482	0.0000	69.9113	0.0000	0.0000	0.0000	0.0000
Sedoheptulose 7-phosphate_3	35469.5168	25363.7212	1100.6442	42017.6095	17100.2117	32656.9113	32000.0554	9408.1480	15566.8238	4868.8809	13241.0491	23036.1876	15793.2085	16390.6379	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Sedoheptulose 7-phosphate_4	25284.8375	16618.4099	0.0000	29739.2952	8802.7054	16930.8350	15612.3786	4697.3467	9117.5560	3150.1339	6718.7033	13096.5781	6614.5753	8889.3799	0.0000	0.0000	0.0000	0.0000	6.7393	12.7292
Sedoheptulose 7-phosphate_5	20295.8665	15488.0066	4410.5543	19435.5622	19519.5577	23373.1875	18805.9638	11579.2282	11976.7029	4634.5994	9113.3875	15769.2455	7469.3120	7935.4791	12638.8289	8469.9422	7403.5008	8281.8050	16742.0327	7891.5571
Sedoheptulose 7-phosphate_6	8412.5231	4907.5572	0.0000	10285.6156	2560.3622	4267.6842	3670.7582	3374.5882	1333.7188	216.4965	1393.3866	2932.5595	1202.4938	2064.6639	199.2986	38.1761	183.9726	0.0000	442.6580	0.0000
Sedoheptulose 7-phosphate_7	6104.6909	4216.5857	0.0000	8569.7324	325.2638	1203.1412	661.2387	0.0000	816.3078	122.7937	3048.4868	3436.6411	993.5598	2131.9535	0.0000	0.0000	0.0000	0.0000	43.0336	0.0000
Sucrose	248295.7541	257223.2930	80494.7468	408191.0913	251008.0806	616276.6518	575374.3758	100463.2841	503235.7153	92288.4833	310799.7398	236257.6998	88775.4825	471831.5213	112175.6352	80232.8880	99961.6073	62500.8216	111546.3406	29951.0560
Sucrose_1	43549.1349	34628.7709	10092.4232	73413.9544	28129.2902	88945.0049	94421.3731	14498.8300	70819.2063	15490.9057	41404.5527	43958.7644	8642.3482	72613.6402	629.8012	108.8055	0.0000	0.0000	1245.3579	0.0000
Sucrose_2	41685.4270	30324.8027	8619.7581	44727.5870	28592.3492	89063.6215	85294.1577	16329.5021	62380.3984	15560.3798	34551.5957	31076.5949	18339.8321	68482.7487	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Sucrose_3	22441.8646	16486.5336	3007.4734	23675.7773	11773.3070	49608.3511	48815.0075	8430.7336	27174.2537	8276.6145	23935.4304	16448.4062	3667.7359	43646.5883	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Sucrose_4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MS_METABOLITE_DATA_END
#METABOLITES
METABOLITES_START
metabolite_name	moverz_quant	ri	ri_type	pubchem_id	inchi_key	kegg_id	other_id	other_id_type
2 or 3-phosphoglycerate_13C_1				724			2PG/3PG_13C_1	UM_Target_ID
2 or 3-phosphoglycerate_13C_2				724			2PG/3PG_13C_2	UM_Target_ID
2 or 3-phosphoglycerate_13C_3				724			2PG/3PG_13C_3	UM_Target_ID
2 or 3-phosphoglycerate_2PG/3PG				724			2PG/3PG	UM_Target_ID
3-Glycerophosphate				754			GI_OH3P	
3-Glycerophosphate_2				754			GI_OH3P_13C_1	
3-Glycerophosphate_3				754			GI_OH3P_13C_2	
3-Glycerophosphate_4				754			GI_OH3P_13C_3	
3-phosphoglyceraldehyde				729			G3P	
